scenario,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,gmean_mean,gmean_std,fbeta_2_mean,fbeta_2_std,brier_mean,brier_std
sem_balanceamento,dummy,0.9982725144432208,9.599034695224245e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.001727485556779042,9.59903469526763e-06,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.001727485556779042,9.59903469526763e-06
sem_balanceamento,logistic_regression,0.9992029695951838,9.663059328260921e-05,0.8827006342913648,0.03676293345600557,0.6220573077715935,0.04566507408232647,0.7289895899066712,0.03627751081206187,0.9742609194040078,0.008784125088739218,0.760666242766503,0.022357414115094464,0.7402206123609097,0.03414762267725687,0.8109565507607417,0.022832780156539355,0.7882246610722681,0.028928870659080022,0.6607088737601342,0.04229073653633994,0.0006962118853957878,5.578515097604696e-05
sem_balanceamento,svm_rbf,0.9993679933084841,5.266324868526486e-05,0.9541707002349442,0.030119101702421,0.6667285095856524,0.01658436638607422,0.7847569058320406,0.016517383257908618,0.9467379449004458,0.018991024867899553,0.8188107491472932,0.03047076007091688,0.7972220715989338,0.017260408768839452,0.8333361169879268,0.008294863332542968,0.8164609770531357,0.010157049840571529,0.7093766742430292,0.01588634086047998,0.0004961393256329484,0.00010116329427552396
smote,dummy,0.9982725144432208,9.599034695224245e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.001727485556779042,9.59903469526763e-06,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.001727485556779042,9.59903469526763e-06
smote,logistic_regression,0.9747232266857809,0.0015199701824798724,0.05919346471127516,0.0038342126936711045,0.912533498247784,0.02576289376561253,0.11115428053089933,0.006783154629773051,0.9779853986776137,0.009006214988295201,0.7311520288176124,0.03081733643605335,0.22879784582105023,0.008903427765402495,0.9436821158825927,0.012711450391689532,0.9430904998923275,0.013138999124705378,0.23486791636212914,0.012321702362243607,0.02390907798885909,0.0011538313866243906
smote,svm_rbf,0.9854568177057269,0.001497466765210366,0.09557095108245522,0.007966204616599805,0.8699649556792414,0.03452216278642072,0.17209389922813317,0.012709139603111945,0.9622498315732179,0.015241502806467497,0.6642246797480944,0.05278235277225826,0.2853337589936087,0.011939614486848583,0.9278108548158619,0.016846954490267803,0.9258523106595454,0.01805523803211248,0.3313945717519558,0.018365383108180814,0.012668213297741496,0.0010555687753514241
undersampling,dummy,0.9982725144432208,9.599034695224245e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.001727485556779042,9.59903469526763e-06,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.001727485556779042,9.59903469526763e-06
undersampling,logistic_regression,0.9679712911860763,0.004355520679621289,0.047959812400492366,0.007213749609909399,0.9145949288806431,0.018668983214726122,0.09107220778867005,0.013020026007521541,0.9769230018662866,0.007612805609949124,0.6993240129522433,0.018695466238310383,0.20505281730829544,0.01702663894415098,0.9413292601598581,0.010442194068324752,0.9409156825889013,0.010677897337890159,0.19777748862610353,0.024682465614818204,0.030750524358540608,0.0022220408638095462
undersampling,svm_rbf,0.985927305262706,0.00237504183219499,0.1005766834738612,0.016391611016646577,0.8780457637600495,0.020316651290223815,0.18020838649242815,0.02688692136651566,0.9803118050595069,0.006154207984591847,0.6747125972203157,0.02886810577915486,0.29389976049447786,0.02795098354965267,0.9320798785210742,0.01117677579493328,0.9304707411828546,0.011724549742088725,0.34364040389529704,0.041374516596787834,0.025642149284102002,0.0022649737208490163
